iter	MAE
0	11.42324522
1	11.41983797
2	11.41554278
3	11.41171106
4	11.40953996
5	11.4047045
6	11.40026122
7	11.39627105
8	11.39215758
9	11.38858661
10	11.38562932
11	11.38239371
12	11.37740464
13	11.37362215
14	11.36958285
15	11.36583785
16	11.36225819
17	11.35956105
18	11.35480654
19	11.35127198
20	11.3490069
21	11.34586959
22	11.34348532
23	11.33816301
24	11.33424933
25	11.32993434
26	11.32690087
27	11.32249115
28	11.31905278
29	11.31539713
30	11.31205015
31	11.30708746
32	11.30268288
33	11.29907515
34	11.29527369
35	11.29158259
36	11.289683
37	11.2857237
38	11.27949428
39	11.27460883
40	11.27047085
41	11.26635159
42	11.26203406
43	11.25727496
44	11.25326616
45	11.24909225
46	11.24640486
47	11.24267474
48	11.23826916
49	11.23280808
50	11.22826256
51	11.22401359
52	11.21862159
53	11.2128995
54	11.2073249
55	11.2034696
56	11.19846712
57	11.19420325
58	11.1888626
59	11.18546534
60	11.18101981
61	11.17815997
62	11.17272084
63	11.16821157
64	11.16436226
65	11.16089998
66	11.15733558
67	11.15428114
68	11.14923815
69	11.14642755
70	11.14082931
71	11.1366475
72	11.13180127
73	11.12785829
74	11.124267
75	11.12022601
76	11.11739828
77	11.11162206
78	11.10743484
79	11.10323994
80	11.09913527
81	11.09639768
82	11.09108826
83	11.08623038
84	11.08202038
85	11.07847784
86	11.07299996
87	11.06842431
88	11.06350457
89	11.06116934
90	11.05555999
91	11.05068327
92	11.04542816
93	11.04152887
94	11.03613805
95	11.03175201
96	11.02752888
97	11.02098989
98	11.01599168
99	11.01146723
